id,accountId,year_,totalDeposits,totalWithdrawals,finalBalance,status
1,1001,2025,450000.00,120000.00,330000.00,
2,1002,2025,300000.00,175000.00,125000.00,
3,1003,2025,220000.00,250000.00,-30000.00,
4,1004,2025,380000.00,140000.00,240000.00,
5,1005,2025,510000.00,220000.00,290000.00,
6,1006,2025,195000.00,80000.00,115000.00,
7,1007,2025,420000.00,300000.00,120000.00,
8,1008,2025,275000.00,95000.00,180000.00,
9,1009,2025,310000.00,170000.00,140000.00,
10,1010,2025,600000.00,260000.00,340000.00,
11,1011,2025,180000.00,70000.00,110000.00,
12,1012,2025,355000.00,205000.00,150000.00,
13,1013,2025,290000.00,115000.00,175000.00,
14,1014,2025,470000.00,185000.00,285000.00,
15,1015,2025,525000.00,315000.00,210000.00,
