id,accountId,amount,type,date
1,1001,15000.00,DEPOSIT,2026-08-01
2,1002,3500.00,WITHDRAWAL,2026-08-02
3,1003,22000.00,DEPOSIT,2026-08-03
4,1001,5000.00,TRANSFER,2026-08-04
5,1002,-1250.00,WITHDRAWAL,2026-08-05
6,1003,8000.00,DEPOSIT,2026-08-06
7,1001,2300.00,WITHDRAWAL,2026-08-07
8,1002,12000.00,DEPOSIT,2026-08-08
9,1003,4200.00,TRANSFER,2026-08-09
10,1001,7600.00,DEPOSIT,2026-08-10
11,1002,1800.00,WITHDRAWAL,2026-08-11
12,1003,9500.00,DEPOSIT,2026-08-12
13,1001,3100.00,TRANSFER,2026-08-13
14,1002,6400.00,DEPOSIT,2026-08-14
15,1003,2700.00,WITHDRAWAL,2026-08-15
